Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
78;SPENT FUEL STORAGE RACK;A spent fuel storage rack that accommodates and stores spent fuels in a large number of cells formed in a grid pattern includes a flat rectangular plate-shaped base forming the bottom of the rack, columnar members extending upward from the four corners of the base, and at least a pair of upper and lower grid-shaped frame plates disposed above the base and fixed to and supported by the columnar members. Each of the cells is formed by assembling metal plates to which boron is added to a density greater than 1% into a polygonal tube, and the cells are arranged contiguously at fixed intervals in the grid-shaped frame plates.;"MUKAI TOSHIMASA [JP] 
SATO TAKAO [JP] 
HASEGAWA HIDENOBU [JP] 
TAKAGI KAORU [JP] 
TAKESHITA TETSURO [JP]";TOSHIBA KK [JP];"EP2418651A1 
EP2418651A4 
EP2418651B1";10.04.2009;"G21C19/07 
A47C31/00";"A47C31/002 (EP,US) 
G21C19/07 (EP,KR,US) 
Y02E30/30 (EP)";"2012-02-15 
2013-07-10 
2017-01-11";14.10.2010;42936260
79;NATURAL-CIRCULATION BOILING WATER REACTOR AND CHIMNEY THEREFOR;"The present invention provides a chimney for a natural-circulation boiling water reactor having structural soundness capable of standing a horizontal load generated by a flow-induced vibration, an earthquake and the like. The chimney for a natural-circulation boiling water reactor according to the present invention is characterized in that: the chimney is disposed in the inside of a reactor pressure vessel, and includes plural flow channels which guide a steam-water two-phase flow generated in a reactor core to the upper part of the reactor pressure vessel; each of the flow channels is formed partitioned by plural flow channel separation walls whose lower-most part is supported by a chimney lattice plate; and chimney spacers that support the horizontal load each other are arranged between the flow channel separation walls of the adjacent flow channels, and ring-like members that support the horizontal load are arranged at the outermost periphery of the plural flow channels that are supported by the chimney lattice plate.";"KUROITA SHO [JP] 
SAWAHATA SADAKATSU [JP] 
MABUCHI YASUHIRO [JP] 
ASAKURA HIROAKI [JP] 
HIROKAWA FUMIHITO [JP]";HITACHI GE NUCLEAR ENERGY LTD [JP];"EP2922066A1 
EP2922066A4 
EP2922066B1";16.11.2012;"G21C1/08 
G21C15/26";"G21C1/084 (EP,US) 
G21C15/26 (EP,US) 
Y02E30/30 (EP,US)";"2015-09-23 
2016-07-13 
2018-06-27";22.05.2014;50730751
80;TRANSPORTATION CONTAINER FOR NUCLEAR POWER STATION SPENT FUEL STORAGE TANK;"The present invention provides a transportation container for a nuclear power station spent fuel storage tank including: a container body, including an inner cylinder body and an outer cylinder body sheathed outside the inner cylinder body, the inner cylinder body being provided with a guide rail; a top cover, mounted at the top of the container body by an upper flange; and a penetrating cover plate, detachably mounted at the bottom of the container body by a lower flange. An upper buffer plate is arranged between the top cover and a spent fuel storage tank in the inner cylinder body, and a lower buffer plate is arranged between the penetrating cover plate and the spent fuel storage tank in the inner cylinder body. Compared with the prior art, the transportation container for a nuclear power station spent fuel storage tank of the present invention is suitable for bearing horizontal and vertical spent fuel storage tanks, and the spent fuel storage tanks can be directly stored in the transportation container and transported to a post-treatment plant or a geological treatment facility for a long distance, to achieve recycling and retreatment of spent fuel assemblies, such that the technical problem whereby spent fuel storage tanks are not able to be directly transported for a long distance domestically and abroad is effectively solved.";"CHENG CHENG [CN] 
PAN YUE LONG [CN] 
TANG SHAO HUA [CN] 
ZHANG XUE LING [CN]";"CHINA NUCLEAR POWER ENG CO LTD [CN] 
CHINA NUCLEAR POWER DESIGN COMPANY LTD SHENZHEN [CN] 
CHINA GENERAL NUCLEAR POWER [CN] 
CGN POWER CO LTD [CN]";"EP4258290A1 
EP4258290A4";13.11.2020;"G21F5/06 
G21F5/12 
G21F5/08 
G21F5/10";"G21F5/06 (CN) 
G21F5/08 (EP) 
G21F5/12 (EP,CN) 
G21F5/10 (EP) 
Y02E30/30 (EP)";"2023-10-11 
2024-12-11";09.03.2021;74826809
81;BOTTOM NOZZLE WITH BAFFLE ANTI-DEBRIS DEVICE FOR A NUCLEAR FUEL ASSEMBLY AND CORRESPONDING ASSEMBLY;"The invention relates to a lower end-piece (7) comprising: orientation noses (39) for the reactor water flow along the lower ends (19) of the fuel rods (3), the noses (39) being arranged into nodes of the essentially uniform fuel rod (3) network; and an anti-debris device (43) defining water flow channels (47). At least some of the water flow channels (47) are arranged into essentially uniform network nodes. Orientation noses (39) are provided at least partially in said channels (47) for defining therewith water passages (51), and at least one water passage (51) includes a first section (S1) and a second section (S2) radially offset from each other relative to the corresponding node of the network for defining a baffle (56).";"VERDIER MICHEL [FR] 
LABARRIERE ERIC [FR]";AREVA NP [FR];"EP2102870A2 
EP2102870B1 
EP2102870B9";13.12.2006;G21C3/322;"G21C3/3206 (EP,US) 
G21C3/322 (EP,KR,US) 
G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2009-09-23 
2011-08-03 
2012-09-19";20.06.2008;38565531
82;NUCLEAR REACTOR FUEL ASSEMBLY;The invention is related to the nuclear power industry sphere, specifically to the design of fuel assemblies of nuclear reactors, and is aimed at supporting efficient mixing of the heat carrier for the purpose of improving heat removal from fuel elements.The nuclear reactor fuel assembly contains upper and lower end caps, guide channels, fuel elements situated in triangular network points, and at least one array consisting of cells integrally connected in between. Each cell is made in the form of a shaped tube, with the longitudinal axis thereof coinciding with the longitudinal axis of the fuel element and having hexagon-shaped cross-section, with its edges consisting of middle and two outermost sections. Outermost sections, at least near edges of cells from the upper end cap side, have deflection with a steady change in value along the longitudinal axis of the cell. Outermost sections of neighboring edges adjacent to common top of hexagon have deflection direction opposite to the cell centerpoint. Directions of deflections of adjacent cells' edges contacting with each other are opposite relatively to centerpoints of their specific cells. There is no gap between array cells.;"ENIN ANATOLY ALEKSEEVICH [RU] 
SHUSTOV MSTISLAV ALEKSANDROVICH [RU] 
IVANOV ROMAN SERGEEVICH [RU] 
DOROKHOV ROMAN ALEKSANDROVICH [RU] 
MALCHEVSKIY DMITRY VYACHESLAVOVICH [RU] 
VOLKOV SERGEY EVGENIEVICH [RU] 
VASILCHENKO IVAN NIKITOVICH [RU] 
VYALITSYN VIKTOR VASIL'EVICH [RU] 
KUSHMANOV SERGEY ALEKSANDROVICH [RU]";JOINT STOCK COMPANY TVEL [RU];"EP3564966A1 
EP3564966A4 
EP3564966B1";29.12.2016;"G21C3/34 
G21C3/344";"G21C3/34 (EA,RU) 
G21C3/3432 (EP) 
G21C3/344 (EP) 
Y02E30/30 (EP,EA)";"2019-11-06 
2020-12-09 
2024-02-14";05.07.2018;62709809
83;UPPER INTERNAL ARRANGEMENT FOR A PRESSURIZED WATER REACTOR;A telescoping guide for extraction and reinsertion support handling of in-core instrument thimble assemblies in the area above the upper support plate in the upper internals of a pressurized water reactor. The telescoping guides extend between the upper ends of the upper internals support columns and an axially movable instrumentation grid assembly which is operable to simultaneously raise the telescoping guides and extract the in-core instrument thimble assemblies from the reactor fuel assemblies.;"WEISEL ERIC M [US] 
MARGOTTA KENNETH V [US] 
WALUS DANIEL [US] 
SCHILDKAMP THOMAS J [US] 
HAHN JOSEPH J [US] 
HEIBEL MICHAEL D [US]";WESTINGHOUSE ELECTRIC CORP [US];"EP2368253A1 
EP2368253B1";17.12.2008;"G21C13/02 
G21C17/10 
G21C17/116 
G21C19/02";"G21C13/02 (EP,US) 
G21C17/10 (EP,US) 
G21C17/116 (EP,US) 
G21C19/02 (EP,US) 
Y02E30/30 (EP,US)";"2011-09-28 
2013-01-16";17.06.2010;42240523
84;ENVIRONMENTALLY SEQUESTERED SPENT FUEL POOL;An environmentally sequestered nuclear spent fuel pool in one embodiment includes sidewalls and a base slab that confine a water impoundment. The pool includes fuel racks containing spent fuel assemblies which heat the water via radioactive decay. A dual liner system enclosing the pool forms an impervious barrier providing redundant provisions for preventing leakage of contaminated pool water into the environment. An interstitial space is formed between the liners which may be maintained at sub-atmospheric pressures by a vacuum pump system that evacuates the space. By maintaining the pressure in the space at a negative pressure with corresponding boiling point less than the temperature of the pool water, any leakage through the inner-most liner into the interstitial space will vaporize and be extracted via the pump for signaling a potential leak in the liner system.;SINGH KRISHNA P [US];HOLTEC INTERNATIONAL [US];"EP3204949A1 
EP3204949A4 
EP3204949B1";07.10.2014;"G21F5/012 
G01M3/12 
G21C19/07 
G21C13/10 
G21C17/00";"G21C13/10 (EP,KR,US) 
G21C17/002 (EP,KR,US) 
G21C19/07 (EP,KR,US) 
G01M3/00 (US) 
Y02E30/30 (EP,US)";"2017-08-16 
2018-06-20 
2019-09-04";07.04.2016;55633261
85;Nuclear reactor fuel assembly;A fuel assembly (10) for a nuclear reactor that employs dissimilar materials for the fuel assembly grid (20) and the control rod guide thimbles (18). The guide thimbles (18) are secured to the grid (20) employing a through grid cell sleeve (56) that is welded to the grid (20) and spot weld rings (64) that are secured over the sleeve (56) and welded directly to the guide tube through windows in the sleeve (56).;"EVANS PAUL MARCUS [US] 
PEARCE HARRY A [US] 
MARZEAN MICHAEL A [US] 
BOATWRIGHT DAVID A [US]";WESTINGHOUSE ELECTRIC CORP [US];"EP2081194A2 
EP2081194A3 
EP2081194B1";15.01.2008;"G21C3/352 
G21C3/334";"G21C3/30 (KR) 
G21C3/334 (EP,US) 
G21C3/34 (KR) 
G21C3/352 (EP,KR,US) 
G21C3/356 (US) 
Y02E30/30 (EP,US)";"2009-07-22 
2011-06-29 
2012-02-22";20.07.2009;40552122
86;A protective grid attachment;A fuel assembly for a pressurized water reactor that has a protective grid attached to the bottom nozzle through a spacer insert captured between a control rod guide thimble end plug and the bottom nozzle. A thimble screw attaches the bottom nozzle to the control rod guide thimble end plug through a central opening in the spacer insert. The control rod guide thimble end plug is provided with a raised annular boss that encircles the thimble screw shank and rests against the upper surface of the bottom nozzle through the opening in the spacer insert. The opening in the spacer insert is large enough to provide both an axial and radial clearance between the spacer insert and the end plug to accommodate differences in thermal expansion.;"EVANS PAUL MARCUS [US] 
MARZEAN MICHAEL A [US]";WESTINGHOUSE ELECTRIC CORP [US];"EP2363863A1 
EP2363863B1";03.03.2010;G21C3/334;"G21C3/33 (KR) 
G21C3/334 (EP,US) 
G21C3/34 (KR) 
Y02E30/30 (EP,US)";"2011-09-07 
2013-08-21";07.09.2011;43855958
87;FUEL ELEMENT FOR A WATER-COOLED WATER-MODERATED NUCLEAR REACTOR;The invention relates to nuclear engineering and involves improvement of the design of fuel elements as part of an advanced fuel assembly that make up the core in a water-cooled vessel-type nuclear reactor of increased capacity, particularly VVER-1000. In particular, the invention relates to TBCA-T.mod.2, a new modification of fuel assemblies, and can be used at Temelin NPP. The technical result is that of increasing efficiency factor of the pressurized water reactor while maintaining the reliability and safe operation of the fuel element. The essence of the invention is as follows: the fuel element comprises a cylindrical cladding having a length of 3946±1 mm and being made of E110 ultra-high purity or E110M zirconium alloy, with an outer diameter of 9.10±0.04 mm and a wall thickness of 0.585±0.05 mm, an upper and a lower plugs providing sealing and the initial inert gas pressure of 2.7±0.2 MPa, a fuel column located in the cladding and assembled from solid fuel pellets, each pellet having a height of 11±1 mm and an outer diameter of 7.8±0.03 mm, with the total weight of all fuel pellets of 1825±20 g, and a retaining spring disposed in the cladding, being made in the form of a cylindrical spring and comprised of compensating group coils, buffer coils, and fixing group coils. The fuel pellets of the active fuel column part are made of uranium dioxide with 0.1 to 5% wt. of Uranium-235, and the fuel pellets of the upper and lower blanket parts of the fuel column are made of uranium dioxide comprising less Uranium-235 than in the active part. The length of the fuel element is 3978±2 mm.;"NOVIKOV VLADIMIR VLADIMIROVICH [RU] 
KUZNETSOV VLADIMIR IVANOVICH [RU] 
MIKHEEV EVGENIY NIKOLAEVICH [RU] 
GIZATULLIN TIMUR TAGIROVICH [RU] 
SERGIENKO IVAN ROMANOVICH [RU] 
LYSIKOV AALEKSANDR VLADIMIROVICH [RU]";JOINT STOCK COMPANY TVEL [RU];"EP4141890A1 
EP4141890A4 
EP4141890B1";31.05.2021;"G21C3/07 
G21C3/18 
G21C3/28";"G21C3/07 (EP) 
G21C3/18 (EP) 
G21C3/048 (EP) 
Y02E30/30 (EP)";"2023-03-01 
2023-06-14 
2025-04-23";08.12.2022;84323497
88;Method for improving energy output of a nuclear reactor, method for determining natural uranium blanket for a fuel bundle, and a fuel bundle having a variable blanket layer;A method for improving the energy generating output of a nuclear reactor containing one or more fuel rods (100) in one or more fuel rod bundles (116) while satisfying a maximum subcritical banked withdrawal position (MSBWP) reactivity limit, enrichments of individual fuel rods in an axial cross-section of a lattice being evaluated at the top of the fuel bundle are ranked, and the fuel pins of the highest ranked rod location in the lattice are replaced with natural uranium pins. A core simulation is then performed to determine whether there is any margin to a MSBWP reactivity limit. For each lower ranked candidate rod position, the pin replacing and core simulation functions are repeated until no rod location violates the MSBWP reactivity limit, so as to achieve a desired lattice design for the top of the fuel bundle (116).;"KROPACZEK DAVID JOSEPH [US] 
REA JOHN PATRICK [US] 
ASGARI MEHDI [US]";GLOBAL NUCLEAR FUEL AMERICAS [US];"EP1918940A2 
EP1918940A3";31.10.2006;"G21C3/328 
G21C7/00";"G21C3/328 (EP,US) 
G21C7/00 (EP,US) 
G21D3/001 (EP,US) 
Y02E30/00 (EP) 
Y02E30/30 (EP,US)";"2008-05-07 
2010-07-28";07.05.2008;38981331
89;Nuclear reactor fuel assemblies;A nuclear fuel assembly having a parallel array of elongated fuel elements supported between an upper and lower nozzle. Main support grids are substantially evenly spaced along the elongated dimension of the assembly to maintain the spacing between fuel elements. A plurality of auxiliary vibration-resistant grids respectively positioned between the main support grids in the middle third elongated dimension of the fuel elements, that are smaller in height and provide a larger fuel element contact area than the main support grids.;"GOLDENFIELD MARK P [US] 
NGUYEN QUANG M [US] 
SETTLE GREGORY E [US] 
POMIRLEANU RADU O [US] 
ELMAHDI ABDELAZIZ M [US] 
WALTON LEWIS A [US] 
BRASHIER RAYMOND W [US]";WESTINGHOUSE ELECTRIC CORP [US];"EP1548749A2 
EP1548749A3";05.09.2003;"G21C3/356 
G21C3/33 
G21C3/34 
G21C3/356";"G21C3/34 (KR) 
G21C3/356 (EP,US) 
Y02E30/30 (EP,US)";"2005-06-29 
2008-04-23";10.03.2005;34375766
90;NUCLEAR REACTOR AND MEANS FOR INSERTING NEUTRON-ABSORBING LIQUID INTO THE CORE;The systems for mounting, controlling and guiding the control rods inside and outside the reactor vessel can be dispensed with and traversing the internal upper part can thus be avoided. According to the invention, an internal upper part (10) which is placed close to the core of the reactor (50) is used, said part leading laterally to the exterior of the vessel (1). All fluid transmission and control systems pass via said internal part and, due to a moveable connection part (11) for each cluster of control rods, and lead to an assembly head (12) containing reservoirs of neutron-absorbing liquid and injection circuits in injection channels placed between the fuel rods. The invention can be used in all nuclear reactors.;EMIN MICHEL [FR];EMIN MICHEL [FR];"EP1590812A2 
EP1590812B1";04.02.2003;"G21C5/00 
G21C5/00 
G21C7/16 
G21C7/22";"G21C7/16 (EP,US) 
G21C7/22 (EP,US) 
Y02E30/30 (EP,US)";"2005-11-02 
2010-06-23";26.08.2004;32870862
91;BODY FOR NUCLEAR FUEL ASSEMBLY AND NUCLEAR FUEL ASSEMBLY COMPRISING SUCH A BODY;"The invention relates to a body for a nuclear fuel assembly having a longitudinal axis (X) and comprising: first (4) and second (6) tubular segments made of a metal material and forming the longitudinal ends of the assembly body; a frame (8) made of a metal material and connecting the first (4) and second (6) segments, wherein the frame (8) is perforated; and an inner tubular ceramic structure (10) arranged between the first (4) and second (6) segments inside the frame (8).";RAVENET ALAIN [FR];"COMMISSARIAT ENERGIE ATOMIQUE [FR] 
COMMISSARIAT L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES [FR]";"EP2486570A1 
EP2486570B1";08.10.2009;G21C3/324;"G21C1/02 (US) 
G21C3/324 (EP,KR,US) 
Y02E30/30 (EP,US)";"2012-08-15 
2014-12-03";14.04.2011;42124394
92;Heat exchanger and process of realizing thereof;The invention refers to a gas-liquid heat exchanger and to the process of realizing thereof, used for preparing the thermal agent necessary for heating and producing domestic hot water, used for wall hung gas boilers. According to the invention, the heat exchanger is formed of two parts, a metal part A, figure 1, which ensures the thermal exchange, and a collection and connection part with the gas boiler B, which can be made of metal or composite plastic. Part A is made of straight pipes, which ensure the circulation of the thermal agent provided by a gas boiler, some flaps, the ends of the pipes being each fixed to a collector assembly, all assembled in one part by brazing.;KOBER AUREL [RO];S C KOBER SRL [RO];"EP2767792A2 
EP2767792A3";14.02.2013;"B23K3/06 
F24H1/14 
F28D7/16 
F28F1/32 
F28F21/06 
F28F21/08 
F28F9/18 
B23K1/00 
B23K1/008";"B23K1/0012 (EP) 
B23K1/008 (EP) 
F28D7/16 (EP) 
F28D7/1684 (EP) 
F28F1/325 (EP) 
F28F21/06 (EP) 
F28F21/08 (EP) 
F28F9/18 (EP) 
B23K2101/14 (EP)";"2014-08-20 
2015-01-21";30.10.2013;49118481
93;Filter for catching particles in the coolant fluid of a nuclear reactor;This filter is of the type comprising channels (24) for circulation of coolant fluid through the filter, at least one channel (24) extending along a channel centerline (A) and comprising an upstream section (30), a downstream section (32) and an intermediate section (34) extending between the upstream section (30) and the downstream section (32) and being enlarged relative to the upstream section (30) and the downstream section (32). According to the invention, it comprises at least one separating member (36) defining inside the intermediate section (34) of the at least one channel (24) an annular passage (38) whose axis is substantially coaxial to the channel centerline (A) in the intermediate section (34). Application to lower nozzles of nuclear fuel assemblies.;KNABE PAWEL [DE];AREVA NP [FR];"EP2164076A1 
EP2164076B1";16.09.2008;"B01D35/02 
G21C3/32";"G21C3/3206 (EP,US) 
Y02E30/30 (EP,US)";"2010-03-17 
2011-07-06";17.03.2010;40848837
94;ASSEMBLAGE POUR REACTEUR NUCLEAIRE, COMPORTANT DU COMBUSTIBLE NUCLEAIRE ET UN SYSTEME DE DECLENCHEMENT ET D'INSERTION D'AU MOINS UN ELEMENT ABSORBANT NEUTRONIQUE ET/OU MITIGATEUR;Assemblage porteur pour rÈacteur nuclÈaire comportant un boÓtier (40), une zone fissile situÈe en partie basse du boÓtier (40), un volume libre situÈ en partie haute du boÓtier (40), un espace libre (52) dans la zone fissile s'Ètendant sur la hauteur de la zone fissile ‡ partir de son extrÈmitÈ situÈe du cÙtÈ de la partie haute le long de l'axe longitudinal, un fourreau (54) bordant l'espace libre (52), et un systËme de dÈclenchement et d'insertion (SI), ledit systËme de dÈclenchement et d'insertion comportant une capsule (10) d'axe longitudinal, un ensemble absorbant (2) et/ou mitigateur suspendu dans la capsule et un dispositif de dÈclenchement et d'insertion (DI) apte ‡ libÈrer ledit ensemble absorbant en cas d'Ètat accidentel de l'assemblage, ladite capsule (10) Ètant insÈrÈe dans le fourreau (54) ledit systËme de dÈclenchement et d'insertion Ètant montÈ de maniËre amovible dans l'assemblage porteur.;"LORENZO DENIS [FR] 
ESCLEINE JEAN MICHEL [FR] 
MAILHE GUY [FR] 
RAVENET ALAIN [FR]";"COMMISSARIAT ENERGIE ATOMIQUE [FR] 
AREVA NP [FR] 
ELECTRICITE DE FRANCE [FR]";"FR2983624A1 
FR2983624B1";02.12.2011;"G21C1/00 
G21C3/30 
G21C9/027";"G21C3/326 (EP) 
G21C7/12 (RU) 
G21C9/027 (EP,RU) 
G21C1/02 (EP) 
G21C1/06 (EP) 
Y02E30/30 (EP)";"2013-06-07 
2014-02-07";06.06.2013;47263378
95;FUEL ELEMENT FOR A BOILING-WATER REACTOR;The invention relates to a fuel element, for a boiling-water reactor, comprising a water channel (4) and a fuel element base (6), made from a sieve plate (8) and a frame section (7) enclosing the same, whereby the water channel (4) supports a plug (17) with a drilling (16) running therethrough, at the lower end thereof, to which the fuel element base (6) is fixed. The embodiment of the fuel element further comprises an opening (14) through the sieve plate (8), a skirt (19), formed on the underside (18) of the plug (17), surrounding the drilling (16), extending into the opening (14) in the sieve plate (8), a bush (22), provided with a first and a second longitudinal section (23, 24), whereby the first longitudinal section (23) extends from the underside (27) of the sieve plate (8) into the opening (14) in a rotationally-fixed manner and a radial shoulder (25) is provided between both sections (23, 24) which contacts the underside (27) of the sieve plate (8). A threaded section (35) of a screw (34) extends through the bush (22) which engages in a thread in the drilling (16) in the plug (17).;"LIEBLER-RANZUS MICHAEL [DE] 
FRIEDRICH ERHARD [DE]";AREVA NP GMBH [DE];"EP1730748A2 
EP1730748B1";02.04.2004;"G21C3/322 
G21C3/33 
G21C5/06";"G21C3/322 (EP,US) 
G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2006-12-13 
2007-09-12";04.05.2005;34399827
96;STORAGE SYSTEM FOR NUCLEAR FUEL;A fuel storage system for storing and drying nuclear fuel rods includes a vertically oriented capsule defining an internal cavity. A plurality of fuel rod storage tubes is disposed in the cavity. In one embodiment, each storage tube has a transverse cross section configured and dimensioned to hold no more than one fuel rod. Intact or damaged fuel rods may be stored in the storage tubes. After the fuel rods are loaded into the capsule, a lid is attached to a previously open top end of the capsule. In one embodiment, the lid may be sealed welded to the capsule for forming a gas tight enclosure. The interior of the capsule and multiple fuel rods contained therein may be dried together simultaneously via flow conduits formed in the lid that can be fluidly connected to a suitable drying process such as a forced gas dehydration system.;"SPRINGMAN RICHARD M [US] 
AGACE STEPHEN J [US]";HOLTEC INTERNATIONAL [US];"EP3134900A1 
EP3134900A4 
EP3134900B1";24.04.2014;"G21C19/00 
G21C19/02 
G21C19/07 
G21C3/326 
G21C19/06 
G21F5/12 
G21F5/008 
G21F5/14";"G21C19/06 (EP,US) 
G21F5/008 (EP,US) 
G21F5/06 (US) 
G21F5/12 (EP,US) 
G21F9/34 (US) 
G21F5/14 (EP,US) 
Y02E30/30 (EP)";"2017-03-01 
2017-11-22 
2019-10-23";29.10.2015;54333240
97;METHOD FOR LIMITING HOLDING FORCES ON A NUCLEAR REACTOR FUEL ASSEMBLY AND FUEL ASSEMBLY;An elastic rubbing engaging bushing (15) of a centering pin of the fuel assembly is fixed in each of the through-openings (18) of at least one of the end-pieces (7) of the fuel assembly (1). The elastic bushing (15) comprises an annular body having a fixing part (15a) in the opening (18) of the end-piece (7) and elastic branches (16) which are separated by slots (17). The flexible branches (16) of the elastic bushing (15) of the elastic bushing (15) comprise, in each free end part, a bearing surface (19) which protrudes radially in an inner direction of the bushing, whereby the diameter thereof is less than the diameter of a centering pin of the fuel assembly.;"CHAMBRIN JEAN-LUC [FR] 
BEATI ANGELO [FR] 
GENTET GUY [FR]";AREVA NP [FR];"EP1697947A2 
EP1697947B1";22.12.2003;"G21C3/33 
G21C5/06";"G21C3/33 (KR) 
G21C3/3305 (EP,US) 
G21C3/3315 (EP,US) 
G21C5/06 (EP,KR,US) 
Y02E30/30 (EP,US)";"2006-09-06 
2007-09-05";24.06.2005;34630463
98;HIGH TEMPERATURE STRENGTH, CORROSION RESISTANT, ACCIDENT TOLERANT NUCLEAR FUEL ASSEMBLY GRID;The invention pertains to a nuclear fuel assembly grid or a portion or a part of the grid, such as a grid strap and/or an integral flow mixer that is at least partially constructed of a composition containing one or more ternary compounds of the general formula I: Mn+1AXn wherein, M is a transition metal, A is an element selected from the group A elements in the Chemical Periodic Table, X is carbon or nitrogen, and n is an integer from 1 to 3. The invention further pertains to a method of making the nuclear fuel assembly grid or a portion of a part of the grid, by employing a sintering process to sinter the composition containing one or more ternary compounds in powder form such that the resulting grid or a portion of or a part of the grid includes a plurality of sintered layers;"XU PENG [US] 
LAHODA EDWARD J [US]";"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP3053169A1 
EP3053169A4 
EP3053169B1";04.10.2013;"G21C3/34 
B23K1/00 
B23K31/02 
G21C21/00 
G21C3/32 
G21C3/33";"B23K1/0008 (KR) 
B23K31/02 (KR) 
G21C21/00 (EP,KR,US) 
G21C3/32 (EP,KR,US) 
G21C3/3305 (EP,KR,US) 
G21C3/34 (EP,KR,US) 
Y02E30/30 (EP,KR,US)";"2016-08-10 
2017-06-28 
2020-05-06";09.04.2015;52776951
99;DEVICE FOR THE DRY HANDLING OF NUCLEAR FUEL ASSEMBLIES;"The invention relates to a device for the dry handling of nuclear fuel assemblies, comprising: a transfer basket (20) which can be connected to lifting means and which comprises a member for gripping the fuel assembly to be transferred, said member being supported by a lifting mechanism built into the basket; and an indexing table (50) which can be placed on a cask (1) and which comprises means (55, 56, 57) for positioning the basket (20) over a slot in the cask.";"CHASSIGNET MATHIEU JEAN MAURICE [FR] 
SCHERMESSER FREDERIC JEAN-MARIE [FR] 
SCHERMESSER FR√âD√âRIC JEAN-MARIE [FR]";AREVA NP [FR];"EP2617040A1 
EP2617040B1";15.09.2010;"G21C19/10 
G21C19/105 
G21C19/18 
G21C19/19 
G21C19/32";"G21C19/10 (EP,US) 
G21C19/105 (EP,US) 
G21C19/18 (EP,US) 
G21C19/19 (EP,US) 
G21C19/32 (EP,US) 
Y02E30/30 (EP)";"2013-07-24 
2015-05-13";16.03.2012;43608842
100;TUBE GRID CELL;A tube grid cell (2) for a grid assembly (4) including a plurality of tube grid cells and intended to hold a plurality of elongated fuel rods (6) in a fuel bundle (8) in a nuclear reactor. The tube grid cell (2) is cylinder-shaped, has an essentially circular cross-section and an elongated extension along a longitudinal axis A, and has a length L, and that axis A has an essentially vertical direction during normal use.A cell housing (10) is provided and comprises, along the longitudinal axis A, a lower section (16), an upper section (18) and a middle section (20) placed between the upper and lower sections. The middle section (20) is provided with two pairs of support members (22) each having a radially inward directed extension, one of said pairs is arranged close to an upper part of the middle section (20), and the other of said pairs is arranged close to a lower part of the middle section (20). The middle section (20) is further provided with a resilient member (24) configured to generate a resilient force in an inward radial direction, the resilient member is arranged between said planes of the pairs of support members and at essentially equal distance from the planes of the support members (22), and positioned approximately 120 degrees apart from the support members seen along axis A. The upper section (18) and the lower section (16) have respectively a length L1 and L2 along axis A that is larger than 0.1L and smaller than 0.3L, i.e. 0.1L < L1(L2) < 0.3L, and is provided with a solid housing wall, having an even thickness and no openings, indentations or protrusions.;RIZNYCHENKO OLEKSIY [SE];WESTINGHOUSE ELECTRIC SWEDEN AB [SE];"EP3822988A1 
EP3822988B1 
EP3822988C0";13.11.2019;"G21C3/344 
G21C3/356";"G21C3/344 (EP,US) 
G21C3/356 (EP,US) 
G21C3/334 (US) 
Y02E30/30 (EP)";"2021-05-19 
2024-08-07";19.05.2021;68581354
